mediaType,title,year
MOVIE,Chinese Opium Den,1894
MOVIE,A Trip to the Moon,1902
MOVIE,Dr. Dippy's Sanitarium,1906
MOVIE,Dante's Inferno,1911
MOVIE,L'Inferno,1911
MOVIE,Fantômas,1913
MOVIE,Intolerance,1916
MOVIE,Cleopatra,1917
MOVIE,Mickey,1918
MOVIE,Different from the Others,1919
MOVIE,The Cabinet of Dr. Caligari,1919
MOVIE,The Miracle Man,1919
MOVIE,When the Clouds Roll By,1919
MOVIE,Way Down East,1920
MOVIE,Between Two Worlds,1921
MOVIE,Destiny,1921
MOVIE,The Affairs of Anatol,1921
MOVIE,The Phantom Carriage,1921
MOVIE,The Playhouse,1921
MOVIE,Douglas Fairbanks in Robin Hood,1922
MOVIE,Häxan,1922
MOVIE,Nosferatu: A Symphony of Horror,1922
MOVIE,Witchcraft Through the Ages,1922
MOVIE,The Covered Wagon,1923
MOVIE,The Hands of Orlac,1924
MOVIE,The Sea Hawk,1924
MOVIE,Battleship Potemkin,1925
MOVIE,Ben-Hur,1925
MOVIE,Beau Geste,1926
MOVIE,Faust,1926
MOVIE,For Heaven's Sake,1926
MOVIE,College,1927
MOVIE,London After Midnight,1927
MOVIE,Metropolis,1927
MOVIE,Napoléon,1927
MOVIE,The Chess Player,1927
MOVIE,The Unknown,1927
MOVIE,Spies,1928
MOVIE,The Circus,1928
MOVIE,The Passion of Joan of Arc,1928
MOVIE,The Singing Fool,1928
MOVIE,Die Büchse der Pandora,1929
MOVIE,Man with a Movie Camera,1929
MOVIE,Pandora's Box,1929
MOVIE,Sunny Side Up,1929
MOVIE,The Broadway Melody,1929
MOVIE,Un Chien Andalou,1929
MOVIE,Woman in the Moon,1929
MOVIE,Hell's Angels,1930
MOVIE,L'Age d'Or,1930
MOVIE,Beau Hunks,1931
MOVIE,East of Borneo,1931
MOVIE,M,1931
MOVIE,Mädchen in Uniform,1931
MOVIE,Mata Hari,1931
MOVIE,Monkey Business,1931
MOVIE,Night Nurse,1931
MOVIE,Blessed Event,1932
MOVIE,Doctor X,1932
MOVIE,"I Was Born, But...",1932
MOVIE,Island of Lost Souls,1932
MOVIE,Tarzan the Ape Man,1932
MOVIE,The Hounds of Zaroff,1932
MOVIE,The Most Dangerous Game,1932
MOVIE,The Music Box,1932
MOVIE,The Old Dark House,1932
MOVIE,The Sign of the Cross,1932
MOVIE,Vampyr,1932
MOVIE,White Zombie,1932
MOVIE,Blood Money,1933
MOVIE,Cavalcade,1933
MOVIE,Ecstasy,1933
MOVIE,Gabriel Over the White House,1933
MOVIE,I'm No Angel,1933
MOVIE,Narcotic,1933
MOVIE,Queen Christina,1933
MOVIE,The Kennel Murder Case,1933
MOVIE,Zero for Conduct,1933
MOVIE,Zoo in Budapest,1933
MOVIE,Maniac,1934
MOVIE,Of Human Bondage,1934
MOVIE,Street Without a Name,1934
MOVIE,The Black Cat,1934
MOVIE,The Merry Widow,1934
MOVIE,The Scarlet Empress,1934
MOVIE,Wake Up and Dream,1934
MOVIE,Captain Blood,1935
MOVIE,Mad Love,1935
MOVIE,Mark of the Vampire,1935
MOVIE,Mutiny on the Bounty,1935
MOVIE,Sylvia Scarlett,1935
MOVIE,The 39 Steps,1935
MOVIE,The Phantom Empire,1935
MOVIE,Triumph of the Will,1935
MOVIE,Werewolf of London,1935
MOVIE,Camille,1936
MOVIE,Charlie Chan at the Opera,1936
MOVIE,Confessions of a Cheat,1936
MOVIE,Intermezzo,1936
MOVIE,Le Roman d'un tricheur,1936
MOVIE,Marihuana,1936
MOVIE,Night Mail,1936
MOVIE,Reefer Madness,1936
MOVIE,Rembrandt,1936
MOVIE,Rose Hobart,1936
MOVIE,San Francisco,1936
MOVIE,Tell Your Children,1936
MOVIE,The Crime of Monsieur Lange,1936
MOVIE,The Devil-Doll,1936
MOVIE,The Story of a Cheat,1936
MOVIE,The Story of Louis Pasteur,1936
MOVIE,Under Two Flags,1936
MOVIE,You Only Live Once,1937
MOVIE,Holiday,1938
MOVIE,Judas Was a Woman,1938
MOVIE,La Bête Humaine,1938
MOVIE,Olympia Part One: Festival of the Nations,1938
MOVIE,Pygmalion,1938
MOVIE,The Dawn Patrol,1938
MOVIE,The Human Beast,1938
MOVIE,The Terror of Tiny Town,1938
MOVIE,You Can't Take It with You,1938
MOVIE,Beau Geste,1939
MOVIE,Five Came Back,1939
MOVIE,Second Fiddle,1939
MOVIE,The Hunchback of Notre Dame,1939
MOVIE,The Little Princess,1939
MOVIE,Boom Town,1940
MOVIE,Dr. Cyclops,1940
MOVIE,The Great McGinty,1940
MOVIE,The Sea Hawk,1940
MOVIE,The Thief of Bagdad,1940
MOVIE,Waterloo Bridge,1940
MOVIE,"""Pimpernel"" Smith",1941
MOVIE,All That Money Can Buy,1941
MOVIE,Hellzapoppin,1941
MOVIE,Man Hunt,1941
MOVIE,Penny Serenade,1941
MOVIE,The Devil and Daniel Webster,1941
MOVIE,The Devil and Miss Jones,1941
MOVIE,I Married a Witch,1942
MOVIE,Prelude to War,1942
MOVIE,Roxie Hart,1942
MOVIE,Tarzan's New York Adventure,1942
MOVIE,The Mad Monster,1942
MOVIE,Went the Day Well?,1942
MOVIE,Divide and Conquer,1943
MOVIE,For Whom the Bell Tolls,1943
MOVIE,I Walked with a Zombie,1943
MOVIE,Le Corbeau,1943
MOVIE,Meshes of the Afternoon,1943
MOVIE,The Battle of Britain,1943
MOVIE,The Battle of Russia,1943
MOVIE,The Life and Death of Colonel Blimp,1943
MOVIE,The Nazis Strike,1943
MOVIE,The Outlaw,1943
MOVIE,The Silent Village,1943
MOVIE,This Is the Army,1943
MOVIE,Ali Baba and the Forty Thieves,1944
MOVIE,Arsenic and Old Lace,1944
MOVIE,Cobra Woman,1944
MOVIE,"Farewell, My Lovely",1944
MOVIE,"Ivan the Terrible, Part I",1944
MOVIE,"Murder, My Sweet",1944
MOVIE,The Battle of China,1944
MOVIE,When Strangers Marry,1944
MOVIE,Blithe Spirit,1945
MOVIE,Brief Encounter,1945
MOVIE,Children of Paradise,1945
MOVIE,Dead of Night,1945
MOVIE,Hangover Square,1945
MOVIE,I Know Where I'm Going!,1945
MOVIE,Kolberg,1945
MOVIE,My Name Is Julia Ross,1945
MOVIE,"Rome, Open City",1945
MOVIE,Spellbound,1945
MOVIE,The Bells of St. Mary's,1945
MOVIE,The Body Snatcher,1945
MOVIE,The Wicked Lady,1945
MOVIE,War Comes to America,1945
MOVIE,Ziegfeld Follies,1945
MOVIE,A Matter of Life and Death,1946
MOVIE,Beauty and the Beast,1946
MOVIE,Duel in the Sun,1946
MOVIE,Lady in the Lake,1946
