mediaType,title,year,tags
MOVIE,The Corbett–Fitzsimmons Fight,1897,National Film Registry
MOVIE,Jeffries-Johnson World's Championship Boxing Contest,1910,National Film Registry
MOVIE,From the Manger to the Cross,1912,National Film Registry
MOVIE,Bert Williams: Lime Kiln Club Field Day,1913,National Film Registry
MOVIE,Traffic in Souls,1913,National Film Registry
MOVIE,In the Land of the Head Hunters,1914,National Film Registry
MOVIE,Tess of the Storm Country,1914,National Film Registry
MOVIE,The Bargain,1914,National Film Registry
MOVIE,The Wishing Ring: An Idyll of Old England,1914,National Film Registry
MOVIE,Uncle Tom's Cabin,1914,National Film Registry
MOVIE,A Fool There Was,1915,National Film Registry
MOVIE,Regeneration,1915,National Film Registry
MOVIE,The Birth of a Nation,1915,National Film Registry
MOVIE,The Cheat,1915,National Film Registry
MOVIE,The Italian,1915,National Film Registry
MOVIE,"20,000 Leagues Under the Sea",1916,National Film Registry
MOVIE,Civilization,1916,National Film Registry
MOVIE,Hell's Hinges,1916,National Film Registry
MOVIE,Intolerance,1916,National Film Registry
MOVIE,Shoes,1916,National Film Registry
MOVIE,Where Are My Children?,1916,National Film Registry
MOVIE,The Girl Without a Soul,1917,National Film Registry
MOVIE,The Poor Little Rich Girl,1917,National Film Registry
MOVIE,Unmasked,1917,National Film Registry
MOVIE,Wild and Woolly,1917,National Film Registry
MOVIE,Bread,1918,National Film Registry
MOVIE,The Blue Bird,1918,National Film Registry
MOVIE,A Virtuous Vamp,1919,National Film Registry
MOVIE,Broken Blossoms,1919,National Film Registry
MOVIE,Jubilo,1919,National Film Registry
MOVIE,The Dragon Painter,1919,National Film Registry
MOVIE,Daughter of Dawn,1920,National Film Registry
MOVIE,Heroes All,1920,National Film Registry
MOVIE,Humoresque,1920,National Film Registry
MOVIE,The Last of the Mohicans,1920,National Film Registry
MOVIE,The Mark of Zorro,1920,National Film Registry
MOVIE,Within Our Gates,1920,National Film Registry
MOVIE,Miss Lulu Bett,1921,National Film Registry
MOVIE,The Four Horsemen of the Apocalypse,1921,National Film Registry
MOVIE,The Kid,1921,National Film Registry
MOVIE,Tol'able David,1921,National Film Registry
MOVIE,Foolish Wives,1922,National Film Registry
MOVIE,Nanook of the North,1922,National Film Registry
MOVIE,Sky High,1922,National Film Registry
MOVIE,Safety Last!,1923,National Film Registry
MOVIE,Salomé,1923,National Film Registry
MOVIE,Greed,1924,National Film Registry
MOVIE,He Who Gets Slapped,1924,National Film Registry
MOVIE,Peter Pan,1924,National Film Registry
MOVIE,Sherlock Jr.,1924,National Film Registry
MOVIE,The Chechahcos,1924,National Film Registry
MOVIE,The Iron Horse,1924,National Film Registry
MOVIE,The Navigator,1924,National Film Registry
MOVIE,The Thief of Bagdad,1924,National Film Registry
MOVIE,Ben-Hur: A Tale of the Christ,1925,National Film Registry
MOVIE,Body and Soul,1925,National Film Registry
MOVIE,Grass,1925,National Film Registry
MOVIE,Lady Windermere's Fan,1925,National Film Registry
MOVIE,The Big Parade,1925,National Film Registry
MOVIE,The Clash of the Wolves,1925,National Film Registry
MOVIE,The Freshman,1925,National Film Registry
MOVIE,The Gold Rush,1925,National Film Registry
MOVIE,The Lost World,1925,National Film Registry
MOVIE,The Phantom of the Opera,1925,National Film Registry
MOVIE,Ella Cinders,1926,National Film Registry
MOVIE,Hands Up!,1926,National Film Registry
MOVIE,So's Your Old Man,1926,National Film Registry
MOVIE,Sparrows,1926,National Film Registry
MOVIE,Ten Nights in a Barroom,1926,National Film Registry
MOVIE,The Black Pirate,1926,National Film Registry
MOVIE,The Flying Ace,1926,National Film Registry
MOVIE,The General,1926,National Film Registry
MOVIE,The Son of the Sheik,1926,National Film Registry
MOVIE,The Strong Man,1926,National Film Registry
MOVIE,Flesh and the Devil,1927,National Film Registry
MOVIE,It,1927,National Film Registry
MOVIE,Seventh Heaven,1927,National Film Registry
MOVIE,Stark Love,1927,National Film Registry
MOVIE,Sunrise,1927,National Film Registry
MOVIE,The Jazz Singer,1927,National Film Registry
MOVIE,Wings,1927,National Film Registry
MOVIE,Lonesome,1928,National Film Registry
MOVIE,Show People,1928,National Film Registry
MOVIE,"Steamboat Bill, Jr.",1928,National Film Registry
MOVIE,The Cameraman,1928,National Film Registry
MOVIE,The Crowd,1928,National Film Registry
MOVIE,The Docks of New York,1928,National Film Registry
MOVIE,The Last Command,1928,National Film Registry
MOVIE,The Power of the Press,1928,National Film Registry
MOVIE,The Wedding March,1928,National Film Registry
MOVIE,The Wind,1928,National Film Registry
MOVIE,Applause,1929,National Film Registry
MOVIE,Hallelujah,1929,National Film Registry
MOVIE,With Car and Camera Around the World,1929,National Film Registry
MOVIE,All Quiet on the Western Front,1930,National Film Registry
MOVIE,Hell-Bound Train,1930,National Film Registry
MOVIE,King of Jazz,1930,National Film Registry
MOVIE,Morocco,1930,National Film Registry
MOVIE,The Big Trail,1930,National Film Registry
MOVIE,City Lights,1931,National Film Registry
MOVIE,Dracula,1931,National Film Registry
MOVIE,Dracula (Spanish-language version),1931,National Film Registry
MOVIE,Frankenstein,1931,National Film Registry
MOVIE,Little Caesar,1931,National Film Registry
MOVIE,Tabu: A Story of the South Seas,1931,National Film Registry
MOVIE,The Forgotten Frontier,1931,National Film Registry
MOVIE,The Front Page,1931,National Film Registry
MOVIE,The Public Enemy,1931,National Film Registry
MOVIE,Freaks,1932,National Film Registry
MOVIE,Grand Hotel,1932,National Film Registry
MOVIE,I Am a Fugitive from a Chain Gang,1932,National Film Registry
MOVIE,Love Me Tonight,1932,National Film Registry
MOVIE,Red Dust,1932,National Film Registry
MOVIE,Scarface,1932,National Film Registry
MOVIE,Trouble in Paradise,1932,National Film Registry
MOVIE,42nd Street,1933,National Film Registry
MOVIE,Baby Face,1933,National Film Registry
MOVIE,Dinner at Eight,1933,National Film Registry
MOVIE,Duck Soup,1933,National Film Registry
MOVIE,Employees' Entrance,1933,National Film Registry
MOVIE,Footlight Parade,1933,National Film Registry
MOVIE,Gold Diggers of 1933,1933,National Film Registry
MOVIE,King Kong,1933,National Film Registry
MOVIE,She Done Him Wrong,1933,National Film Registry
MOVIE,Sons of the Desert,1933,National Film Registry
MOVIE,State Fair,1933,National Film Registry
MOVIE,The Emperor Jones,1933,National Film Registry
MOVIE,The Invisible Man,1933,National Film Registry
MOVIE,The Power and the Glory,1933,National Film Registry
MOVIE,Wild Boys of the Road,1933,National Film Registry
MOVIE,Imitation of Life,1934,National Film Registry
MOVIE,It Happened One Night,1934,National Film Registry
MOVIE,It's a Gift,1934,National Film Registry
MOVIE,Little Miss Marker,1934,National Film Registry
MOVIE,Our Daily Bread,1934,National Film Registry
MOVIE,Tarzan and His Mate,1934,National Film Registry
MOVIE,The Thin Man,1934,National Film Registry
MOVIE,Twentieth Century,1934,National Film Registry
MOVIE,A Night at the Opera,1935,National Film Registry
MOVIE,Becky Sharp,1935,National Film Registry
MOVIE,Bride of Frankenstein,1935,National Film Registry
MOVIE,Naughty Marietta,1935,National Film Registry
MOVIE,Ruggles of Red Gap,1935,National Film Registry
MOVIE,The Informer,1935,National Film Registry
MOVIE,Top Hat,1935,National Film Registry
MOVIE,Dodsworth,1936,National Film Registry
MOVIE,Fury,1936,National Film Registry
MOVIE,Modern Times,1936,National Film Registry
MOVIE,My Man Godfrey,1936,National Film Registry
MOVIE,Show Boat,1936,National Film Registry
MOVIE,Swing Time,1936,National Film Registry
MOVIE,Daughter of Shanghai,1937,National Film Registry
MOVIE,Lost Horizon,1937,National Film Registry
MOVIE,Make Way for Tomorrow,1937,National Film Registry
MOVIE,Snow White and the Seven Dwarfs,1937,National Film Registry
MOVIE,The Awful Truth,1937,National Film Registry
MOVIE,The Life of Emile Zola,1937,National Film Registry
MOVIE,The Prisoner of Zenda,1937,National Film Registry
MOVIE,Angels with Dirty Faces,1938,National Film Registry
MOVIE,Bringing Up Baby,1938,National Film Registry
MOVIE,Jezebel,1938,National Film Registry
MOVIE,Love Finds Andy Hardy,1938,National Film Registry
MOVIE,The Adventures of Robin Hood,1938,National Film Registry
MOVIE,Under Western Stars,1938,National Film Registry
MOVIE,Destry Rides Again,1939,National Film Registry
MOVIE,Gone with the Wind,1939,National Film Registry
MOVIE,Gunga Din,1939,National Film Registry
MOVIE,Midnight,1939,National Film Registry
MOVIE,Mr. Smith Goes to Washington,1939,National Film Registry
MOVIE,Ninotchka,1939,National Film Registry
MOVIE,Only Angels Have Wings,1939,National Film Registry
MOVIE,Stagecoach,1939,National Film Registry
MOVIE,Tevya,1939,National Film Registry
MOVIE,The Wizard of Oz,1939,National Film Registry
MOVIE,The Women,1939,National Film Registry
MOVIE,Verbena Tragica,1939,National Film Registry
MOVIE,Wuthering Heights,1939,National Film Registry
MOVIE,Young Mr. Lincoln,1939,National Film Registry
MOVIE,"Dance, Girl, Dance",1940,National Film Registry
MOVIE,Down Argentine Way,1940,National Film Registry
MOVIE,Fantasia,1940,National Film Registry
MOVIE,His Girl Friday,1940,National Film Registry
MOVIE,"Knute Rockne, All American",1940,National Film Registry
MOVIE,Melody Ranch,1940,National Film Registry
MOVIE,Pinocchio,1940,National Film Registry
MOVIE,Rebecca,1940,National Film Registry
MOVIE,The Bank Dick,1940,National Film Registry
MOVIE,The Grapes of Wrath,1940,National Film Registry
MOVIE,The Great Dictator,1940,National Film Registry
MOVIE,The Mark of Zorro,1940,National Film Registry
MOVIE,The Philadelphia Story,1940,National Film Registry
MOVIE,The Shop Around the Corner,1940,National Film Registry
MOVIE,Ball of Fire,1941,National Film Registry
MOVIE,Citizen Kane,1941,National Film Registry
MOVIE,Dumbo,1941,National Film Registry
MOVIE,How Green Was My Valley,1941,National Film Registry
MOVIE,"Kannapolis, N.C.",1941,National Film Registry
MOVIE,Sergeant York,1941,National Film Registry
MOVIE,Sullivan's Travels,1941,National Film Registry
MOVIE,The Blood of Jesus,1941,National Film Registry
MOVIE,The Lady Eve,1941,National Film Registry
MOVIE,The Maltese Falcon,1941,National Film Registry
MOVIE,Bambi,1942,National Film Registry
MOVIE,Casablanca,1942,National Film Registry
MOVIE,Cat People,1942,National Film Registry
MOVIE,Mrs. Miniver,1942,National Film Registry
MOVIE,"Now, Voyager",1942,National Film Registry
MOVIE,Road to Morocco,1942,National Film Registry
MOVIE,The Magnificent Ambersons,1942,National Film Registry
MOVIE,The Pride of the Yankees,1942,National Film Registry
MOVIE,To Be or Not to Be,1942,National Film Registry
MOVIE,Woman of the Year,1942,National Film Registry
MOVIE,Yankee Doodle Dandy,1942,National Film Registry
MOVIE,Cabin in the Sky,1943,National Film Registry
MOVIE,Lassie Come Home,1943,National Film Registry
MOVIE,Shadow of a Doubt,1943,National Film Registry
MOVIE,Stormy Weather,1943,National Film Registry
MOVIE,The Gang's All Here,1943,National Film Registry
MOVIE,The Ox-Bow Incident,1943,National Film Registry
MOVIE,Double Indemnity,1944,National Film Registry
MOVIE,Gaslight,1944,National Film Registry
MOVIE,Going My Way,1944,National Film Registry
MOVIE,Hail the Conquering Hero,1944,National Film Registry
MOVIE,Laura,1944,National Film Registry
MOVIE,Meet Me in St. Louis,1944,National Film Registry
MOVIE,Memphis Belle,1944,National Film Registry
MOVIE,National Velvet,1944,National Film Registry
MOVIE,The Miracle of Morgan's Creek,1944,National Film Registry
MOVIE,The Negro Soldier,1944,National Film Registry
MOVIE,A Tree Grows in Brooklyn,1945,National Film Registry
MOVIE,A Walk in the Sun,1945,National Film Registry
MOVIE,Detour,1945,National Film Registry
MOVIE,Leave Her to Heaven,1945,National Film Registry
MOVIE,Mildred Pierce,1945,National Film Registry
MOVIE,Mom and Dad,1945,National Film Registry
MOVIE,The Battle of San Pietro,1945,National Film Registry
MOVIE,The Lost Weekend,1945,National Film Registry
MOVIE,The Story of G.I. Joe,1945,National Film Registry
MOVIE,Gilda,1946,National Film Registry
MOVIE,It's a Wonderful Life,1946,National Film Registry
MOVIE,Let There Be Light,1946,National Film Registry
MOVIE,My Darling Clementine,1946,National Film Registry
MOVIE,Notorious,1946,National Film Registry
MOVIE,The Best Years of Our Lives,1946,National Film Registry
MOVIE,The Big Sleep,1946,National Film Registry
MOVIE,The Killers,1946,National Film Registry
MOVIE,Gentleman's Agreement,1947,National Film Registry
MOVIE,Miracle on 34th Street,1947,National Film Registry
MOVIE,Out of the Past,1947,National Film Registry
MOVIE,The Lady from Shanghai,1947,National Film Registry
MOVIE,The Pearl,1947,National Film Registry
MOVIE,Abbott and Costello Meet Frankenstein,1948,National Film Registry
MOVIE,Force of Evil,1948,National Film Registry
MOVIE,Letter from an Unknown Woman,1948,National Film Registry
MOVIE,Louisiana Story,1948,National Film Registry
MOVIE,Red River,1948,National Film Registry
MOVIE,The Naked City,1948,National Film Registry
MOVIE,The Treasure of the Sierra Madre,1948,National Film Registry
MOVIE,All the King's Men,1949,National Film Registry
MOVIE,On the Town,1949,National Film Registry
MOVIE,The Heiress,1949,National Film Registry
MOVIE,Twelve O'Clock High,1949,National Film Registry
MOVIE,White Heat,1949,National Film Registry
MOVIE,Cinderella,1950,National Film Registry
MOVIE,D.O.A.,1950,National Film Registry
MOVIE,Gun Crazy,1950,National Film Registry
MOVIE,In a Lonely Place,1950,National Film Registry
MOVIE,Outrage,1950,National Film Registry
MOVIE,Winchester '73,1950,National Film Registry
MOVIE,Strangers on a Train,1951,National Film Registry
MOVIE,The Day the Earth Stood Still,1951,National Film Registry
MOVIE,The Thing from Another World,1951,National Film Registry
MOVIE,This Is Cinerama,1952,National Film Registry
MOVIE,House of Wax,1953,National Film Registry
MOVIE,Invaders from Mars,1953,National Film Registry
MOVIE,The Big Heat,1953,National Film Registry
MOVIE,The Hitch-Hiker,1953,National Film Registry
MOVIE,The Living Desert,1953,National Film Registry
MOVIE,The War of the Worlds,1953,National Film Registry
MOVIE,Helen Keller in Her Story,1954,National Film Registry
MOVIE,Johnny Guitar,1954,National Film Registry
