mediaType,title,year,tags
MOVIE,Adam's Rib,1950,Oscar Nominee
MOVIE,All About Eve,1950,Oscar Best Picture Winner
MOVIE,Bitter Rice,1950,Oscar Nominee
MOVIE,Born Yesterday,1950,Oscar Best Picture Nominee
MOVIE,Broken Arrow,1950,Oscar Nominee
MOVIE,Caged,1950,Oscar Nominee
MOVIE,Cyrano de Bergerac,1950,Oscar Nominee
MOVIE,Father of the Bride,1950,Oscar Best Picture Nominee
MOVIE,Harvey,1950,Oscar Nominee
MOVIE,King Solomon's Mines,1950,Oscar Best Picture Nominee
MOVIE,Mister 880,1950,Oscar Nominee
MOVIE,Mystery Street,1950,Oscar Nominee
MOVIE,No Way Out,1950,Oscar Nominee
MOVIE,Panic in the Streets,1950,Oscar Nominee
MOVIE,Sunset Boulevard,1950,Oscar Best Picture Nominee
MOVIE,The Asphalt Jungle,1950,Oscar Nominee
MOVIE,The Gunfighter,1950,Oscar Nominee
MOVIE,The Magnificent Yankee,1950,Oscar Nominee
MOVIE,The Men,1950,Oscar Nominee
MOVIE,The Third Man,1950,Oscar Nominee
MOVIE,When Willie Comes Marching Home,1950,Oscar Nominee
MOVIE,A Place in the Sun,1951,Oscar Best Picture Nominee
MOVIE,A Streetcar Named Desire,1951,Oscar Best Picture Nominee
MOVIE,Ace in the Hole,1951,Oscar Nominee
MOVIE,An American in Paris,1951,Oscar Best Picture Winner
MOVIE,Bright Victory,1951,Oscar Nominee
MOVIE,Bullfighter and the Lady,1951,Oscar Nominee
MOVIE,Come Fill the Cup,1951,Oscar Nominee
MOVIE,David and Bathsheba,1951,Oscar Nominee
MOVIE,Death of a Salesman,1951,Oscar Nominee
MOVIE,Decision Before Dawn,1951,Oscar Best Picture Nominee
MOVIE,Detective Story,1951,Oscar Nominee
MOVIE,Go for Broke!,1951,Oscar Nominee
MOVIE,Here Comes the Groom,1951,Oscar Nominee
MOVIE,La Ronde,1951,Oscar Nominee
MOVIE,Quo Vadis,1951,Oscar Best Picture Nominee
MOVIE,Seven Days to Noon,1951,Oscar Nominee
MOVIE,Teresa,1951,Oscar Nominee
MOVIE,The African Queen,1951,Oscar Nominee
MOVIE,The Blue Veil,1951,Oscar Nominee
MOVIE,The Frogmen,1951,Oscar Nominee
MOVIE,The Mating Season,1951,Oscar Nominee
MOVIE,The Well,1951,Oscar Nominee
MOVIE,5 Fingers,1952,Oscar Nominee
MOVIE,Breaking the Sound Barrier,1952,Oscar Nominee
MOVIE,"Come Back, Little Sheba",1952,Oscar Nominee
MOVIE,High Noon,1952,Oscar Best Picture Nominee
MOVIE,Ivanhoe,1952,Oscar Best Picture Nominee
MOVIE,Moulin Rouge,1952,Oscar Best Picture Nominee
MOVIE,My Cousin Rachel,1952,Oscar Nominee
MOVIE,My Son John,1952,Oscar Nominee
MOVIE,Pat and Mike,1952,Oscar Nominee
MOVIE,Singin' in the Rain,1952,Oscar Nominee
MOVIE,Sudden Fear,1952,Oscar Nominee
MOVIE,The Atomic City,1952,Oscar Nominee
MOVIE,The Bad and the Beautiful,1952,Oscar Nominee
MOVIE,The Big Sky,1952,Oscar Nominee
MOVIE,The Greatest Show on Earth,1952,Oscar Best Picture Winner
MOVIE,The Lavender Hill Mob,1952,Oscar Nominee
MOVIE,The Man in the White Suit,1952,Oscar Nominee
MOVIE,The Member of the Wedding,1952,Oscar Nominee
MOVIE,The Narrow Margin,1952,Oscar Nominee
MOVIE,The Pride of St. Louis,1952,Oscar Nominee
MOVIE,The Quiet Man,1952,Oscar Best Picture Nominee
MOVIE,The Sniper,1952,Oscar Nominee
MOVIE,The Star,1952,Oscar Nominee
MOVIE,Viva Zapata!,1952,Oscar Nominee
MOVIE,With a Song in My Heart,1952,Oscar Nominee
MOVIE,Above and Beyond,1953,Oscar Nominee
MOVIE,From Here to Eternity,1953,Oscar Best Picture Winner
MOVIE,Hondo,1953,Oscar Nominee
MOVIE,Julius Caesar,1953,Oscar Best Picture Nominee
MOVIE,Lili,1953,Oscar Nominee
MOVIE,Little Fugitive,1953,Oscar Nominee
MOVIE,Mogambo,1953,Oscar Nominee
MOVIE,Pickup on South Street,1953,Oscar Nominee
MOVIE,Roman Holiday,1953,Oscar Best Picture Nominee
MOVIE,Shane,1953,Oscar Best Picture Nominee
MOVIE,Stalag 17,1953,Oscar Nominee
MOVIE,Take the High Ground!,1953,Oscar Nominee
MOVIE,The Band Wagon,1953,Oscar Nominee
MOVIE,The Captain's Paradise,1953,Oscar Nominee
MOVIE,The Cruel Sea,1953,Oscar Nominee
MOVIE,The Desert Rats,1953,Oscar Nominee
MOVIE,The Moon Is Blue,1953,Oscar Nominee
MOVIE,The Naked Spur,1953,Oscar Nominee
MOVIE,The Robe,1953,Oscar Best Picture Nominee
MOVIE,Titanic,1953,Oscar Nominee
MOVIE,Torch Song,1953,Oscar Nominee
MOVIE,A Star Is Born,1954,Oscar Nominee
MOVIE,"Bread, Love and Dreams",1954,Oscar Nominee
MOVIE,Broken Lance,1954,Oscar Nominee
MOVIE,Carmen Jones,1954,Oscar Nominee
MOVIE,Executive Suite,1954,Oscar Nominee
MOVIE,Forbidden Games,1954,Oscar Nominee
MOVIE,Genevieve,1954,Oscar Nominee
MOVIE,Knock on Wood,1954,Oscar Nominee
MOVIE,Magnificent Obsession,1954,Oscar Nominee
MOVIE,Night People,1954,Oscar Nominee
MOVIE,On the Waterfront,1954,Oscar Best Picture Winner
MOVIE,Rear Window,1954,Oscar Nominee
MOVIE,Robinson Crusoe,1954,Oscar Nominee
MOVIE,Sabrina,1954,Oscar Nominee
MOVIE,Seven Brides for Seven Brothers,1954,Oscar Best Picture Nominee
MOVIE,The Barefoot Contessa,1954,Oscar Nominee
MOVIE,The Caine Mutiny,1954,Oscar Best Picture Nominee
MOVIE,The Country Girl,1954,Oscar Best Picture Nominee
MOVIE,The Glenn Miller Story,1954,Oscar Nominee
MOVIE,The High and the Mighty,1954,Oscar Nominee
MOVIE,There's No Business Like Show Business,1954,Oscar Nominee
MOVIE,Three Coins in the Fountain,1954,Oscar Best Picture Nominee
MOVIE,Bad Day at Black Rock,1955,Oscar Nominee
MOVIE,Blackboard Jungle,1955,Oscar Nominee
MOVIE,East of Eden,1955,Oscar Nominee
MOVIE,I'll Cry Tomorrow,1955,Oscar Nominee
MOVIE,Interrupted Melody,1955,Oscar Nominee
MOVIE,It's Always Fair Weather,1955,Oscar Nominee
MOVIE,Love Is a Many-Splendored Thing,1955,Oscar Best Picture Nominee
MOVIE,Love Me or Leave Me,1955,Oscar Nominee
MOVIE,Marty,1955,Oscar Best Picture Winner
MOVIE,Mister Roberts,1955,Oscar Best Picture Nominee
MOVIE,Mr. Hulot's Holiday,1955,Oscar Nominee
MOVIE,Pete Kelly's Blues,1955,Oscar Nominee
MOVIE,Picnic,1955,Oscar Best Picture Nominee
MOVIE,Rebel Without a Cause,1955,Oscar Nominee
MOVIE,Strategic Air Command,1955,Oscar Nominee
MOVIE,Summertime,1955,Oscar Nominee
MOVIE,The Court-Martial of Billy Mitchell,1955,Oscar Nominee
MOVIE,The Man with the Golden Arm,1955,Oscar Nominee
MOVIE,The Private War of Major Benson,1955,Oscar Nominee
MOVIE,The Rose Tattoo,1955,Oscar Best Picture Nominee
MOVIE,The Seven Little Foys,1955,Oscar Nominee
MOVIE,The Sheep Has Five Legs,1955,Oscar Nominee
MOVIE,Trial,1955,Oscar Nominee
MOVIE,Anastasia,1956,Oscar Nominee
MOVIE,Around the World in 80 Days,1956,Oscar Best Picture Winner
MOVIE,Baby Doll,1956,Oscar Nominee
MOVIE,Bus Stop,1956,Oscar Nominee
MOVIE,Friendly Persuasion,1956,Oscar Best Picture Nominee
MOVIE,Giant,1956,Oscar Best Picture Nominee
MOVIE,Julie,1956,Oscar Nominee
MOVIE,La Strada,1956,Oscar Nominee
MOVIE,Lust for Life,1956,Oscar Nominee
MOVIE,Richard III,1956,Oscar Nominee
MOVIE,The Bad Seed,1956,Oscar Nominee
MOVIE,The Bold and the Brave,1956,Oscar Nominee
MOVIE,The Brave One,1956,Oscar Nominee
MOVIE,The Eddy Duchin Story,1956,Oscar Nominee
MOVIE,The King and I,1956,Oscar Best Picture Nominee
MOVIE,The Ladykillers,1956,Oscar Nominee
MOVIE,The Proud and the Beautiful,1956,Oscar Nominee
MOVIE,The Rainmaker,1956,Oscar Nominee
MOVIE,The Red Balloon,1956,Oscar Nominee
MOVIE,The Ten Commandments,1956,Oscar Best Picture Nominee
MOVIE,Umberto D.,1956,Oscar Nominee
MOVIE,War and Peace,1956,Oscar Nominee
MOVIE,Written on the Wind,1956,Oscar Nominee
MOVIE,12 Angry Men,1957,Oscar Best Picture Nominee
MOVIE,A Farewell to Arms,1957,Oscar Nominee
MOVIE,A Hatful of Rain,1957,Oscar Nominee
MOVIE,Designing Woman,1957,Oscar Nominee
MOVIE,Funny Face,1957,Oscar Nominee
MOVIE,"Heaven Knows, Mr. Allison",1957,Oscar Nominee
MOVIE,I Vitelloni,1957,Oscar Nominee
MOVIE,Man of a Thousand Faces,1957,Oscar Nominee
MOVIE,Peyton Place,1957,Oscar Best Picture Nominee
MOVIE,Raintree County,1957,Oscar Nominee
MOVIE,Sayonara,1957,Oscar Best Picture Nominee
MOVIE,The Bachelor Party,1957,Oscar Nominee
MOVIE,The Bridge on the River Kwai,1957,Oscar Best Picture Winner
MOVIE,The Three Faces of Eve,1957,Oscar Nominee
MOVIE,The Tin Star,1957,Oscar Nominee
MOVIE,Wild Is the Wind,1957,Oscar Nominee
MOVIE,Witness for the Prosecution,1957,Oscar Best Picture Nominee
MOVIE,Auntie Mame,1958,Oscar Best Picture Nominee
MOVIE,Cat on a Hot Tin Roof,1958,Oscar Best Picture Nominee
MOVIE,Gigi,1958,Oscar Best Picture Winner
MOVIE,Houseboat,1958,Oscar Nominee
MOVIE,I Want to Live!,1958,Oscar Nominee
MOVIE,Lonelyhearts,1958,Oscar Nominee
MOVIE,Separate Tables,1958,Oscar Best Picture Nominee
MOVIE,Some Came Running,1958,Oscar Nominee
MOVIE,Teacher's Pet,1958,Oscar Nominee
MOVIE,The Big Country,1958,Oscar Nominee
MOVIE,The Brothers Karamazov,1958,Oscar Nominee
MOVIE,The Defiant Ones,1958,Oscar Best Picture Nominee
MOVIE,The Goddess,1958,Oscar Nominee
MOVIE,The Horse's Mouth,1958,Oscar Nominee
MOVIE,The Inn of the Sixth Happiness,1958,Oscar Nominee
MOVIE,The Old Man and the Sea,1958,Oscar Nominee
MOVIE,The Sheepman,1958,Oscar Nominee
MOVIE,Anatomy of a Murder,1959,Oscar Best Picture Nominee
MOVIE,Ben-Hur,1959,Oscar Best Picture Winner
MOVIE,Imitation of Life,1959,Oscar Nominee
MOVIE,North by Northwest,1959,Oscar Nominee
MOVIE,Operation Petticoat,1959,Oscar Nominee
MOVIE,Pillow Talk,1959,Oscar Nominee
MOVIE,Room at the Top,1959,Oscar Best Picture Nominee
MOVIE,Some Like It Hot,1959,Oscar Nominee
MOVIE,"Suddenly, Last Summer",1959,Oscar Nominee
MOVIE,The 400 Blows,1959,Oscar Nominee
MOVIE,The Diary of Anne Frank,1959,Oscar Best Picture Nominee
MOVIE,The Last Angry Man,1959,Oscar Nominee
MOVIE,The Nun's Story,1959,Oscar Best Picture Nominee
MOVIE,The Young Philadelphians,1959,Oscar Nominee
MOVIE,Wild Strawberries,1959,Oscar Nominee
MOVIE,BUtterfield 8,1960,Oscar Nominee
MOVIE,Elmer Gantry,1960,Oscar Best Picture Nominee
MOVIE,Exodus,1960,Oscar Nominee
MOVIE,"Hiroshima, Mon Amour",1960,Oscar Nominee
MOVIE,Inherit the Wind,1960,Oscar Nominee
MOVIE,"Murder, Inc.",1960,Oscar Nominee
MOVIE,Never on Sunday,1960,Oscar Nominee
MOVIE,Psycho,1960,Oscar Nominee
MOVIE,Sons and Lovers,1960,Oscar Best Picture Nominee
MOVIE,Spartacus,1960,Oscar Nominee
MOVIE,Sunrise at Campobello,1960,Oscar Nominee
MOVIE,The Alamo,1960,Oscar Best Picture Nominee
MOVIE,The Angry Silence,1960,Oscar Nominee
MOVIE,The Apartment,1960,Oscar Best Picture Winner
MOVIE,The Dark at the Top of the Stairs,1960,Oscar Nominee
MOVIE,The Entertainer,1960,Oscar Nominee
MOVIE,The Facts of Life,1960,Oscar Nominee
MOVIE,The Sundowners,1960,Oscar Best Picture Nominee
MOVIE,Tunes of Glory,1960,Oscar Nominee
MOVIE,Ballad of a Soldier,1961,Oscar Nominee
MOVIE,Breakfast at Tiffany's,1961,Oscar Nominee
MOVIE,Fanny,1961,Oscar Best Picture Nominee
MOVIE,General Della Rovere,1961,Oscar Nominee
MOVIE,Judgment at Nuremberg,1961,Oscar Best Picture Nominee
MOVIE,La Dolce Vita,1961,Oscar Nominee
MOVIE,Lover Come Back,1961,Oscar Nominee
