mediaType,title,year,tags
MOVIE,One Battle After Another,2025,Best Picture Nominee 2026
MOVIE,Bugonia,2025,Best Picture Nominee 2026
MOVIE,F1,2025,Best Picture Nominee 2026
MOVIE,Frankenstein,2025,Best Picture Nominee 2026
MOVIE,Hamnet,2025,Best Picture Nominee 2026
MOVIE,Marty Supreme,2025,Best Picture Nominee 2026
MOVIE,The Secret Agent,2025,Best Picture Nominee 2026
MOVIE,Sentimental Value,2025,Best Picture Nominee 2026
MOVIE,Sinners,2025,Best Picture Nominee 2026
MOVIE,Train Dreams,2025,Best Picture Nominee 2026
