mediaType,title,year,tags
MOVIE,Can't Stop the Music,1980,Razzie Winner
MOVIE,Cruising,1980,Razzie Nominee
MOVIE,Raise the Titanic,1980,Razzie Nominee
MOVIE,Saturn 3,1980,Razzie Nominee
MOVIE,The Formula,1980,Razzie Nominee
MOVIE,The Jazz Singer,1980,Razzie Nominee
MOVIE,The Nude Bomb,1980,Razzie Nominee
MOVIE,Windows,1980,Razzie Nominee
MOVIE,Xanadu,1980,Razzie Nominee
MOVIE,Endless Love,1981,Razzie Nominee
MOVIE,Heaven's Gate,1981,Razzie Nominee
MOVIE,"Tarzan, the Ape Man",1981,Razzie Nominee
MOVIE,The Legend of the Lone Ranger,1981,Razzie Nominee
MOVIE,Annie,1982,Razzie Nominee
MOVIE,Butterfly,1982,Razzie Nominee
MOVIE,Inchon,1982,Razzie Winner
MOVIE,Megaforce,1982,Razzie Nominee
MOVIE,The Pirate Movie,1982,Razzie Nominee
MOVIE,Hercules,1983,Razzie Nominee
MOVIE,Jaws 3-D,1983,Razzie Nominee
MOVIE,Stroker Ace,1983,Razzie Nominee
MOVIE,The Lonely Lady,1983,Razzie Winner
MOVIE,Two of a Kind,1983,Razzie Nominee
MOVIE,Bolero,1984,Razzie Winner
MOVIE,Cannonball Run II,1984,Razzie Nominee
MOVIE,Rhinestone,1984,Razzie Nominee
MOVIE,Sheena,1984,Razzie Nominee
MOVIE,Where the Boys Are '84,1984,Razzie Nominee
MOVIE,Fever Pitch,1985,Razzie Nominee
MOVIE,Revolution,1985,Razzie Nominee
MOVIE,Year of the Dragon,1985,Razzie Nominee
MOVIE,Blue City,1986,Razzie Nominee
MOVIE,Cobra,1986,Razzie Nominee
MOVIE,Shanghai Surprise,1986,Razzie Nominee
MOVIE,Under the Cherry Moon,1986,Razzie Winner
MOVIE,Ishtar,1987,Razzie Nominee
MOVIE,Jaws: The Revenge,1987,Razzie Nominee
MOVIE,Leonard Part 6,1987,Razzie Winner
MOVIE,Tough Guys Don't Dance,1987,Razzie Nominee
MOVIE,Who's That Girl,1987,Razzie Nominee
MOVIE,Caddyshack II,1988,Razzie Nominee
MOVIE,Hot to Trot,1988,Razzie Nominee
MOVIE,Mac and Me,1988,Razzie Nominee
MOVIE,Lock Up,1989,Razzie Nominee
MOVIE,Speed Zone,1989,Razzie Nominee
MOVIE,Ghosts Can't Do It,1990,Razzie Winner
MOVIE,Graffiti Bridge,1990,Razzie Nominee
MOVIE,The Adventures of Ford Fairlane,1990,Razzie Winner
MOVIE,The Bonfire of the Vanities,1990,Razzie Nominee
